label,text,Date
0,Like 6 of my online friends have fallen foul of this bug / virus that is going around and seems to make you really nauseous ,2019-05-31 16:32:55.447226
0,"@timeandtempest Y'know fibromyalgia's real, right? I have the precusor to it. ",2021-01-24 16:32:55.447226
4,Jammin at the campfire  what a jammin day!! http://twitpic.com/4gw6o,2020-12-07 16:32:55.447226
0,"What's wrong today, it's been raining since 3pm and haven't stopped!? Plus,it's Friday night ",2018-08-28 16:32:55.447226
4,@Joy_Inc Lincoln - on Brayford Pool  I can't complain really - I can see the marina and cathedral from my window.,2020-09-26 16:32:55.447226
0,My feet are so swollen! I can't fit them into my shoes ,2019-04-15 16:32:55.447226
4,@chibialfa *bows* This is as much your achievement as mine. Thanks again ,2022-03-17 16:32:55.447226
0,"My freakin twitberry crashed again lastnight, megga pissed off! ",2022-08-01 16:32:55.447226
4,Watching Kobe Doin' Work inside my bed  http://bit.ly/JJN3g,2020-07-05 16:32:55.447226
4,@natashasaurus it should come with a warning label  p.s how are you this fine cold night?,2019-09-27 16:32:55.447226
4,i really really want the new LG Xenon cellular phone ,2019-07-18 16:32:55.447226
0,@thechaserblog and apologies for being this spiky but I have just had the most godawful week at the office and *I'm* guaranteed a job ,2019-09-19 16:32:55.447226
0,at homee. bored plzz! someone txt me about doing something this weekend. ,2020-11-17 16:32:55.447226
0,"@regengirl Glad to hear you're home safe. Big WOOT (&amp; an equally sympathetic face) to @siwhitehouse. Sorry, but I drank all the milkshake ",2022-03-11 16:32:55.447226
4,is feeling the pain from the gym yesterday... Love it ,2020-11-30 16:32:55.447226
4,1st day of work... its just like an adventure! whew! 2 hospitals for a day? wasn't it good? hehe... ,2020-11-30 16:32:55.447226
0,won't be coming here in awhile... maybe after holidays... ,2020-10-02 16:32:55.447226
0,"I think a bike ride is on the cards today, maybe to Hampstead Heath. Is this soup really going to take 3hrs to cook!?  must be patient.",2021-09-07 16:32:55.447226
4,"@DavidArchie hi David! Just wanted to say good morning, if you're waking up around now! lol have an awesome day! ",2017-12-22 16:32:55.447226
4,"Yay my fever went away!  But, my throat still hurts and I keep having to go pee, thanks to h20.",2021-11-21 16:32:55.447226
0,@tommcfly tell me about it your tweets have been helping me stay awake on a night shift  nearly home time now though xx,2021-10-11 16:32:55.447226
0,Lizzie gets to go on a field trip to sandy lake. No fair ,2022-02-22 16:32:55.447226
4,Anyone else out there working with Interfase careers service MS?  And do Interfase monitor Twitter? ,2019-02-02 16:32:55.447226
4,Gotta get ready for my class.  I still get butterflies on the first day of class.  I'm such a nerd. ,2022-08-21 16:32:55.447226
0,My car gave up on me ,2020-03-03 16:32:55.447226
4,watching Videos... ,2019-04-08 16:32:55.447226
4,"*gasp* Caitlin's thinking about coming back?!?!?! It's a miracle!!! Oh, happy days have come again!!! /sarcasm ",2021-03-30 16:32:55.447226
4,@ChrisMdotCom we should all organize a tweet party ,2020-05-19 16:32:55.447226
4,"deciding what to do - santos, krush groove, the vault or prince  vs mj. why couldnt it be prince vs mj @ santos...two birds one dj! ",2022-08-13 16:32:55.447226
