,Text,Date
0,"RT @IAmGeorgeTasan: @junotjoyner @FightHaven True, this is what feminism has done to the world.",2023-05-07 06:30:10+00:00
1,RT @JamalThaRebel: salah satu contoh feminism ni tak guna ambik contoh peperangan Ukraine &amp; Russia. men can't leave &amp; dying everyday while…,2023-05-07 06:30:07+00:00
2,I have 9 followers on my bookstagram shitpost account so now I have to start spreading the agenda of how much I loa… https://t.co/qv6IYHH8GC,2023-05-07 06:29:59+00:00
3,It has nothing to do with feminism why are you so obsessed??? https://t.co/cRny7uGG2v,2023-05-07 06:29:40+00:00
4,"RT @hnbinologist: This is not the feminism you think it is, at your grown age why are you acting so ignorant",2023-05-07 06:29:12+00:00
5,@danielkrenn @ThePosieParker I'm not sure 'hard right feminism' is a thing. Who are you talking about?,2023-05-07 06:29:03+00:00
6,"RT @PeepScript: Dobby: Yeah, well it used to be all pink and tidy but then feminism happened and we all just started pissing on the floor.…",2023-05-07 06:28:55+00:00
7,"@DharmaRakshathi @Tryng2BATrader In a way, the woke feminism, women in employment and nuclear families sounded deat… https://t.co/mDDzR7mnFE",2023-05-07 06:28:28+00:00
8,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:28:07+00:00
9,Third wave of feminism support it. https://t.co/ZIINODlSZG,2023-05-07 06:27:58+00:00
10,@Bhardwaj_Scion It always gave baseless arguments... tackling social issues is very possible without these disease called feminism,2023-05-07 06:27:35+00:00
11,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:27:20+00:00
12,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:26:52+00:00
13,"RT @its_daqueen: When you actually deep it feminism really is the default setting. Like it's literally common sense, so much so that even b…",2023-05-07 06:26:37+00:00
14,@chipshoptony @_K_F_P_ @NWAmbulance @LGBTfdn Is there a legal or medical definition of a pervert? Idk what your rad… https://t.co/FnQvKHKrtu,2023-05-07 06:26:28+00:00
15,"RT @covertroserisin: The wave of feminism is spreading in the East. 

A 25 y/o girl from my extended family broke off her engagement with h…",2023-05-07 06:26:14+00:00
16,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:26:11+00:00
17,fully drunk sobbing to little women at 1:30am while my husband cooks for me. this is feminism.,2023-05-07 06:25:16+00:00
18,@IanLemche @MrBeast Yeah I don’t really care but I think it’s important jimmy knows that his support of chris embra… https://t.co/y9FIkVlEo7,2023-05-07 06:25:13+00:00
19,RT @Chantel47738558: @Kevinverted @eccentrikhat superiority without accountability and believe if a man speaks about the problems they face…,2023-05-07 06:25:10+00:00
20,"RT @theRsyndrome: It’s not feminism, it’s common sense. Your four-year-old daughter was the smartest human being in that room.",2023-05-07 06:24:52+00:00
21,"RT @eccentrikhat: @Chantel47738558 @Kevinverted Appreciate your views, Chantelle. 

I would consider that particular concept of equality to…",2023-05-07 06:24:50+00:00
22,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:24:41+00:00
23,RT @abdulaiiiiiii: MUCH TIME HAS PASSED. Why were y’all slvtshaming a 16-year-old girl who wanted to explore the world ?! y’all needa stop…,2023-05-07 06:24:25+00:00
24,@jaqindoch @Crypto110 @BenFordhamLive Feminism has failed them. What a shame.,2023-05-07 06:24:20+00:00
25,"@pranitarottmann 3/3
*Creative, attractive, enjoy opposite sex attractions
* Loves to explore ur feminism n sexuali… https://t.co/QzTT84DYN4",2023-05-07 06:24:09+00:00
26,When Women Regret Feminism - Strong And Independent Woman Has A Meltdown https://t.co/xr01pokp1g via @YouTube,2023-05-07 06:23:49+00:00
27,RT @Too_mishe: Scenes when you realize that feminism is just common sense and the reason why these girls reason in such lines is because th…,2023-05-07 06:23:32+00:00
28,RT @abdulaiiiiiii: MUCH TIME HAS PASSED. Why were y’all slvtshaming a 16-year-old girl who wanted to explore the world ?! y’all needa stop…,2023-05-07 06:23:22+00:00
29,RT @JamalThaRebel: salah satu contoh feminism ni tak guna ambik contoh peperangan Ukraine &amp; Russia. men can't leave &amp; dying everyday while…,2023-05-07 06:23:08+00:00
30,RT @WokeArchive: Feminism is dead https://t.co/hrTa8eJy95,2023-05-07 06:23:04+00:00
31,RT @Too_mishe: Scenes when you realize that feminism is just common sense and the reason why these girls reason in such lines is because th…,2023-05-07 06:22:50+00:00
32,"@burrosavic @kim_macca Same rationale for feminism, homosexuality, trans and pedophiles.   Do some research and you… https://t.co/IZazh3waN6",2023-05-07 06:22:44+00:00
33,"RT @TheRealKeean: This wasn't one incident out of many successful prescribed burns. No, this was attempt #1 of fighting fires with feminism…",2023-05-07 06:22:38+00:00
34,"RT @naxriis_: ""feminism is for everybody"" is like the misogynistic version of ""all lives matter""",2023-05-07 06:22:18+00:00
35,"RT @rasulmiir: Outcomes of feminism:

1. Abortions
2. Rapes
3. Suicides
4. HIV",2023-05-07 06:22:03+00:00
36,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:21:48+00:00
37,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:21:44+00:00
38,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:21:41+00:00
39,RT @Too_mishe: Scenes when you realize that feminism is just common sense and the reason why these girls reason in such lines is because th…,2023-05-07 06:20:33+00:00
40,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:20:32+00:00
41,@ani_digital @ANI That's unnecessary showoff and appeasement of women. Why we woman are accepting such unnecessary… https://t.co/8X7NNwcK1T,2023-05-07 06:20:03+00:00
42,RT @chakravartiin: If you are such a great proponent of feminism start at home resign your posts as PMs &amp; CMs of country as MPs &amp; MLAs and…,2023-05-07 06:19:59+00:00
